CBD354F5.BBS,1. Abakua
A5FF20E8.BBS,2. Afro-American Funk
819F983C.BBS,3. Afro 6/8
22C7E501.BBS,4. Bachata
4CA65C59.BBS,5. Baiao
FBCBB573.BBS,6. Bembe
43CE4BF7.BBS,7. Bolero
1C0CB56A.BBS,8. Bomba 1
42A5A023.BBS,9. Bomba 2
B1BC7B08.BBS,10. Bossa Nova
4A857847.BBS,11. Calypso
21443225.BBS,12. Calypso Jazz
9D9C72ED.BBS,13. Candombe
0E791F83.BBS,14. Cha cha cha 1
CD2E0F50.BBS,15. Cha cha cha 2
01CC79EC.BBS,16. Chacarela
C73AF9A3.BBS,17. Comparsa
CD537E8E.BBS,18. Cumbia
A447A5D9.BBS,19. Danzon
D1AA0307.BBS,20. Festejo 1
E4DB53F3.BBS,21. Festejo De Ritmo
C4700AD8.BBS,22. Festejo Fuga
5A943AB5.BBS,23. Festejo Quijada
64322880.BBS,24. Festejo Cowbell
206A267F.BBS,25. Forro
03CDFD8A.BBS,26. Guaguanco
64650A2F.BBS,27. Kompa
2548CCBA.BBS,28. Lando
89CE6BC2.BBS,29. Lando Zamacueca
7E668172.BBS,30. Latin Jazz (2-3)
E29F6F16.BBS,31. Maracatu
E2505064.BBS,32. Merengue
E0465D55.BBS,33. Mozambique
9444CB82.BBS,34. Mozambique S. Gadd
05CCCB9F.BBS,35. Pilon
77884AF2.BBS,36. Plena
C9D305ED.BBS,37. Reggae 1
191159B0.BBS,38. Reggae 2
8CF2BC4B.BBS,39. Samba
B250A378.BBS,40. Songo
FCDFF969.BBS,41. Tango
67DA765A.BBS,42. Timba
574D502B.BBS,43. Vallenato
2C13AF50.BBS,44. Vallenato Funk
C1F5402C.BBS,45. Zouk