1191B46B.BBS,1. Afoxe (perc)
D389EBBD.BBS,2. Baiao (perc)
0C10223A.BBS,3. Bossa Nova (perc)
48744E4B.BBS,4. Capoeria (perc)
64B12C89.BBS,5. Ciranda (perc)
E29BDB86.BBS,6. Coco (perc)
3506BD3E.BBS,7. Frevo (perc)
AD385A34.BBS,8. Maracatu (perc)
2A3F07B3.BBS,9. Maracatu Slow (perc)
E2B3C2F3.BBS,10. Reco Reco (perc)
FDD2923B.BBS,11. Samba Batukada (perc)
A10EE12F.BBS,12. Samba De Roda (perc)
3613AC56.BBS,13. Samba Pagode (perc)
85C08C18.BBS,14. Samba- pandeiro groove
FF6572D6.BBS,15. Samba Partido Alto (perc)
0C0927D9.BBS,16. Samba Reggae (perc)
3DB29175.BBS,17. Samba Rock (perc)
4ACF1D72.BBS,18. Samba Teleco Teco (perc)
F129F2A2.BBS,19. Sertanejo Universitario (perc)
362DAB79.BBS,20. Xote (perc)