A3E7E61D.BBS,1. Already Gone- The Eagles
E6FD33BF.BBS,2. Best Of My Love- The Eagles
2865FC85.BBS,3. Desperado- Eagles
25743816.BBS,4. Heartache Tonight- The Eagles
C0A54D63.BBS,5. Hotel California- The Eagles
91AE0DD8.BBS,6. Life In The Fast Lane- The Eagles
F3ABE112.BBS,7. Lying Eyes- The Eagles
28FCDD4B.BBS,8. New Kid In Town- The Eagles
2B12533F.BBS,9. One Of These Nights- The Eagles
0830E5E5.BBS,10. Peaceful Easy Feeling- The Eagles
A99CC83C.BBS,11. Take it Easy- The Eagles
8DB1E144.BBS,12. Take It To The Limit- The Eagles
A3F44F6D.BBS,13. Tequila Sunrise- The Eagles
0F4EE15A.BBS,14. The Long Run- The Eagles
DD3084DB.BBS,15. Wasted Time- The Eagles