2117A668.BBS,1. An Innocent Man- Billy Joel
B358CC0B.BBS,2. Just The Way You Are- Billy Joel
D67C4FC9.BBS,3. Moving Out- Billy Joel
C2AF0255.BBS,4. My Life- Billy Joel
4A19B19A.BBS,5. New York State Of Mind- Billy Joel
BDC43ABA.BBS,6. Piano Man- Billy Joel
96995CAD.BBS,7. Scenes From Italian p1 slow- Billy Joel
EDE2D1C4.BBS,8. Scenes From Italian p2 fast- Billy Joel
934D372E.BBS,9. Scenes From Italian p3 slow- Billy Joel
E3373EF9.BBS,10. The River of Dreams- Billy Joel
E09E42C5.BBS,11. To Make You Feel My Love- Billy Joel
5217AC76.BBS,12. Uptown Girl- Billy Joel
0C88BDC3.BBS,13. You May Be Right- Billy Joel