23E126DD.BBS,1. Shuffle 1
BAE87767.BBS,2. Shuffle 2
CDEF47F1.BBS,3. Shuffle 3
759A6D9E.BBS,4. Shuffle 4 (triplet motion)
248CE2C4.BBS,5. Shuffle 5
BD85B37E.BBS,6. Shuffle 6
CA8283E8.BBS,7. Shuffle 7
5A3D9E79.BBS,8. Shuffle 8
2D3AAEEF.BBS,9. Shuffle 9
0C9A906E.BBS,10. Shuffle 10
F1D6ED74.BBS,11. Shuffle 6/8 Blues 1
68DFBCCE.BBS,12. Shuffle 6/8 Blues 2
1FD88C58.BBS,13. Shuffle 6/8 Blues 3
81BC19FB.BBS,14. Shuffle 6/8 Blues 4
EB0FE2FF.BBS,15. Shuffle Funk
C5698B90.BBS,16. Swung Funk 1
BAE68EE2.BBS,17. Swung Funk 1 Perc BONUS
5C60DA2A.BBS,18. Swung Funk 2
CD785C12.BBS,19. Swung Funk 2 Perc BONUS
2B67EABC.BBS,20. Swung Funk 3
B5037F1F.BBS,21. Swung Funk 4
C2044F89.BBS,22. Swung Funk 5
5B0D1E33.BBS,23. Swung Funk 6
2C0A2EA5.BBS,24. Swung Funk 7
BCB53334.BBS,25. Swung Funk 8
274FB473.BBS,26. Swung Funk 8 Perc BONUS
CBB203A2.BBS,27. Swung Funk 9
BCEAF81C.BBS,28. Swung Funk 9 Perc BONUS
B2DBBE2B.BBS,29. Swung Funk 10 syncopated
297EF244.BBS,30. Swung Funk 11 syncopated
C7F1A77E.BBS,31. Swung Funk 11 Perc BONUS
5EE020B4.BBS,32. Swung Funk 12 syncopated
C5456CDB.BBS,33. Swung Funk 13 syncopated
B1DD8554.BBS,34. Swung Funk 14 syncopated
2A78C93B.BBS,35. Swung Funk 15 syncopated
C4F79C01.BBS,36. Swung Funk 15 Perc BONUS
5DE61BCB.BBS,37. Swung Funk 16 syncopated
C64357A4.BBS,38. Swung Funk 17 syncopated
28CC029E.BBS,39. Swung Funk 17 Perc BONUS
B4D7C8D5.BBS,40. Swung Funk 18 syncopated
B24E2C4B.BBS,41. New Orleans 2nd Line 1
2B477DF1.BBS,42. New Orleans 2nd Line 2
5C404D67.BBS,43. New Orleans 2nd Line 3
C224D8C4.BBS,44. New Orleans 2nd Line 4
7F33CCD9.BBS,45. Jazz  Swing 1
E63A9D63.BBS,46. Jazz  Swing 2
61462D04.BBS,47. Jazz Swing 3
FF22B8A7.BBS,48. Jazz Swing 4
88258831.BBS,49. Jazz Swing 5
192FCA85.BBS,50. Jazz Swing 6 (kick stomp_ rim on 4)
19B0BE08.BBS,51. Jazz Swing 7 (hats)
84F33B38.BBS,52. Jazz Swing 8 (rim+toms)
9E12AD42.BBS,53. Jazz Swing 9 (3/4)
B2742EDF.BBS,54. Jazz Swing 10 (3/4)
1403256B.BBS,55. Jazz Swing 11 (3/4)
1043983A.BBS,56. Jazz Swing 12 (3/4) hats
CD0B3D89.BBS,57. Jazz Swing 13 (6/4 feel)
B993D406.BBS,58. Jazz Swing 14 (6/4 feel)
B150354B.BBS,59. Jazz Bogaloo
763BB1E0.BBS,60. Krupa Tom Beat