2D04B1BF.BBS,1. Too Sweet by Hozier
C1C0DB52.BBS,2. Have You Ever Seen the Rain by Creedence Clearwater Revival
121BB59B.BBS,3. Black Hole Sun- Soundgarden Copy
80FC1207.BBS,4. Every Breath You Take- The Police Copy
4C383BD1.BBS,5. Isn't She Lovely - Stevie Wonder
50938EA6.BBS,6. Young Americans - David Bowie
3E4A4E90.BBS,7. Faith - George Michael
7C3E2616.BBS,8. Just What I Needed (The Cars)
12B96AF3.BBS,9. Don't Dream It's Over - Crowded House
D5639F77.BBS,10. Golden - Harry Styles
2E2815C7.BBS,11. Speed Of Sound- Coldplay Copy