2540B0D7.BBS,1. Jazz 1-just ride
7C9C9EE7.BBS,2. Jazz 2-snare-4 bars
E1937F91.BBS,3. Jazz 3-snare-4 bars
845ED551.BBS,4. Jazz 4-snare-4 bars
19513427.BBS,5. Jazz 5-snare-4 bars
653011FC.BBS,6. Jazz 6-snare-4 bars
F83FF08A.BBS,7. Jazz 7-snare-4 bars
AEAB447C.BBS,8. Jazz 8-snare-4 bars
33A4A50A.BBS,9. Jazz 9-snare-4 bars
B4B6FC21.BBS,10. Jazz 10-snare-4 bars
29B91D57.BBS,11. Jazz 11-snare-4 bars
55D8388C.BBS,12. Jazz 12-snare-4 bars
C8D7D9FA.BBS,13. Jazz 13-snare-4 bars
AD1A733A.BBS,14. Jazz 14-snare-4 bars
3015924C.BBS,15. Jazz 15-snare-4 bars
4C74B797.BBS,16. Jazz 16-snare-4 bars
D17B56E1.BBS,17. Jazz 17-snare-4 bars
87EFE217.BBS,18. Jazz 18-snare-4 bars
1AE00361.BBS,19. Jazz 19-snare-4 bars
A5CB9658.BBS,20. Jazz 20-snare-4 bars
38C4772E.BBS,21. Jazz 21-snare-4 bars
44A552F5.BBS,22. Jazz 22-snare-4 bars
D9AAB383.BBS,23. Jazz 23-snare-4 bars
BC671943.BBS,24. Jazz 24-snare-4 bars
2168F835.BBS,25. Jazz 25-snare-4 bars
5D09DDEE.BBS,26. Jazz 26-snare-4 bars
C0063C98.BBS,27. Jazz 27-snare-4 bars
CC4FAA8A.BBS,28. Jazz 28-kick-4 bars
11D9730F.BBS,29. Jazz 29-kick-4 bars
0B439891.BBS,30. Jazz 30-kick-4 bars
D6D54114.BBS,31. Jazz 31-kick-4 bars
E36240D5.BBS,32. Jazz 32-snare+kick-4 bars
3480C08D.BBS,33. Jazz 33-snare+kick-4 bars
7EBE4BC6.BBS,34. Jazz 34-snare+kick-4 bars
A95CCB9E.BBS,35. Jazz 35-snare+kick-4 bars
0A0A4D37.BBS,36. Jazz 36-snare+kick-4 bars
DDE8CD6F.BBS,37. Jazz 37-snare+kick-4 bars
9E775BA1.BBS,38. Jazz 38-snare+kick-4 bars
4995DBF9.BBS,39. Jazz 39-snare+kick-4 bars
7692E0B7.BBS,40. Jazz 40-snare+kick-4 bars
A17060EF.BBS,41. Jazz 41-snare+kick-4 bars
0226E646.BBS,42. Jazz 42-snare+kick-4 bars
D5C4661E.BBS,43. Jazz 43-snare+kick-4 bars
9FFAED55.BBS,44. Jazz 44-snare+kick-4 bars
48186D0D.BBS,45. Jazz 45-snare+kick-4 bars
EB4EEBA4.BBS,46. Jazz 46-snare+kick-4 bars
3CAC6BFC.BBS,47. Jazz 47-snare+kick-4 bars
7F33FD32.BBS,48. Jazz 48-snare+kick-4 bars
A8D17D6A.BBS,49. Jazz 49-snare+kick-4 bars
13F5DBF1.BBS,50. Jazz 50-snare+kick-4 bars
C4175BA9.BBS,51. Jazz 51-snare+kick-4 bars
6741DD00.BBS,52. Jazz 52-snare+kick-4 bars
B0A35D58.BBS,53. Jazz 53-snare+kick-4 bars
FA9DD613.BBS,54. Jazz 54-snare+kick-4 bars
2D7F564B.BBS,55. Jazz 55-snare+kick-4 bars
B586F93D.BBS,56. Jazz 55-swing groove
54E83D90.BBS,57. Jazz 57-swing groove
027C8966.BBS,58. Jazz 58-swing groove
9F736810.BBS,59. Jazz 59-swing groove
2058FD29.BBS,60. Jazz 60-swing groove
BD571C5F.BBS,61. Jazz 61-swing groove
C1363984.BBS,62. Jazz 62-swing groove
5C39D8F2.BBS,63. Jazz 63-swing groove
39F47232.BBS,64. Jazz 64-swing groove
A4FB9344.BBS,65. Jazz 65-swing groove
D89AB69F.BBS,66. Jazz 66-swing groove
459557E9.BBS,67. Jazz 67-swing groove
1301E31F.BBS,68. Jazz 68-swing groove
8E0E0269.BBS,69. Jazz 69-swing groove
99A326C1.BBS,70. Jazz 70-swing groove
012A9EBB.BBS,71. Jazz 71-swing groove- "Poinciana" v1
3B8C1F0D.BBS,72. Jazz 72-swing groove-"Poinciana" v2
4D9645DD.BBS,73. Jazz 73-16 bars
29F72814.BBS,74. Jazz 74-16 bars
3E8C3C57.BBS,75. Jazz 75-16 bars
07010092.BBS,76. Jazz 76-16 bars
107A14D1.BBS,77. Jazz 77-16 bars
CFC3DB00.BBS,78. Jazz 78-16 bars
D8B8CF43.BBS,79. Jazz 79-16 bars
85102295.BBS,80. Jazz 80-16 bars
926B36D6.BBS,81. Jazz 81-16 bars
ABE60A13.BBS,82. Jazz 82-16 bars
BC9D1E50.BBS,83. Jazz 83-16 bars
D8FC7399.BBS,84. Jazz 84-16 bars
CF8767DA.BBS,85. Jazz 85-16 bars
49511D2F.BBS,86. Jazz 86-shuffle
5E2A096C.BBS,87. Jazz 87-shuffle
236EC0B1.BBS,88. Jazz 88-blues
8519CB05.BBS,89. Jazz 89-blues