EA592BDC.BBS,1. Adventure Of a Lifetime- Coldplay
3541782A.BBS,2. Clocks- Coldplay
2EF9B62A.BBS,3. Don't Panic- Coldplay
064D1271.BBS,4. Fix You- Coldplay
682D89FA.BBS,5. God Put A Smile On Your Face- Coldplay
4FC2D000.BBS,6. In My Place- Coldplay
44C22238.BBS,7. Paradise- Coldplay
C6F932EB.BBS,8. Speed Of Sound- Coldplay
EC23E2A4.BBS,9. Talk- Coldplay
9E0ADA93.BBS,10. The Scientist- Coldplay
3CCF7FFA.BBS,11. Trouble- Coldplay
C91CB7C6.BBS,12. What If- Coldplay
DD091330.BBS,13. X & Y- Coldplay
B96953E4.BBS,14. Yellow- Coldplay